input_text,target_text
"source target factuality: Automatic Data Processing Inc. plans to redeem on Nov. 16 its $ 150 million of 6.5 % convertible subordinated debentures due March 1 , 2011 .","(AUTHOR, due, true); (AUTHOR, plans, true); (AUTHOR, redeem, unknown)"
"source target factuality: Therefore , they said , the money can be taken from the lawyers even after they are paid .","(AUTHOR, said, true); (AUTHOR, taken, unknown); (AUTHOR, paid, unknown); (AUTHOR_they, taken, unknown); (AUTHOR_they, paid, true)"
"source target factuality: Fidelity 's junk fund has fallen 2.08 % this year through Oct. 19 , Lipper says ;","(AUTHOR, fallen, unknown); (AUTHOR, says, true); (AUTHOR_Lipper, fallen, true)"
"source target factuality: One of the scenarios widely advanced before the visit is that through the Pope , Cuba , still led by Castro , can begin a more productive relationship with the world .","(AUTHOR, advanced, true); (AUTHOR, relationship, unknown); (AUTHOR, visit, true); (AUTHOR, led, true); (AUTHOR, begin, unknown)"
source target factuality: Investigators in Canada and the United States are also looking into four other sniper attacks on doctors who performed abortions in Canada and western New York .,"(AUTHOR, looking, true); (AUTHOR, attacks, true); (AUTHOR, performed, true)"
"source target factuality: The company noted that its Fox - Meyer Drug Co. , Ben Franklin Stores Inc. and Permian Corp. operations showed improvements as a result of restructuring moves .","(AUTHOR, noted, true); (AUTHOR, showed, true); (AUTHOR, improvements, true); (AUTHOR, result, true); (AUTHOR, moves, true); (AUTHOR_company, showed, true); (AUTHOR_company, improvements, true); (AUTHOR_company, result, true); (AUTHOR_company, moves, true)"
source target factuality: The acceptances give Orkem a controlling 53.2 % stake in the company .,"(AUTHOR, acceptances, true); (AUTHOR, give, true); (AUTHOR, stake, true)"
source target factuality: The Netherlands early this week became the last country to ratify NATO expansion to include the three former Warsaw Pact nations .,"(AUTHOR, became, true); (AUTHOR, ratify, true)"
source target factuality: Long - term Treasury bonds ended slightly higher .,"(AUTHOR, ended, true)"
source target factuality: It also reignited the civil war .,"(AUTHOR, reignited, true); (AUTHOR, war, true)"
"source target factuality: Reflecting the concern , Unisys stock fell a further 75 cents to $ 16.25 in composite trading Friday on the New York Stock Exchange .","(AUTHOR, fell, true); (AUTHOR, concern, true); (AUTHOR, $, true)"
"source target factuality: The new facility was to have been the world 's most advanced cereal manufacturing plant , and Kellogg 's largest construction project .","(AUTHOR, advanced, unknown); (AUTHOR, project, unknown)"
"source target factuality: A C$ 30 - a - share bid by Ciba - Geigy Ltd. , a pharmaceutical company based in Basel , Switzerland , and California - based Chiron Corp. , a bioresearch concern , was extended to Nov. 16 .","(AUTHOR, bid, true); (AUTHOR, extended, true)"
source target factuality: Southern 's Gulf Power unit may plead guilty this week to charges it illegally steered company money to politicians through third parties .,"(AUTHOR, plead, ptrue); (AUTHOR, charges, true); (AUTHOR, steered, unknown); (AUTHOR_GEN, steered, true)"
"source target factuality: The North Atlantic Treaty Organization embraced three of its former rivals , the Czech Republic , Hungary and Poland on Friday , formally ending the Soviet domination of those nations that began after World War II and opening a new path for the military alliance .","(AUTHOR, embraced, true); (AUTHOR, ending, true); (AUTHOR, domination, false); (AUTHOR, began, true); (AUTHOR, World, true); (AUTHOR, opening, true)"
"source target factuality: Perhaps more important , it appears that allied troops have n't yet fully engaged Iraq 's vaunted Republican Guard , which has been sitting just north of the Iraq - Kuwait border and is considered the most potent element in the Iraqi defense .","(AUTHOR, appears, true); (AUTHOR, engaged, pfalse); (AUTHOR, considered, true); (AUTHOR, defense, true); (AUTHOR, sitting, true); (AUTHOR_GEN, defense, true)"
source target factuality: Analysts said Mr. Stronach wants to resume a more influential role in running the company .,"(AUTHOR, said, true); (AUTHOR, wants, unknown); (AUTHOR, resume, unknown); (AUTHOR, running, unknown); (AUTHOR_Analysts, wants, true); (AUTHOR_Analysts, resume, unknown); (AUTHOR_Analysts, running, true)"
source target factuality: Volume on the New York Stock Exchange totaled 175.2 million shares .,"(AUTHOR, totaled, true)"
source target factuality: Mr. Weil of Weil amp Associates said he will remain at $ 1 a share for next year but said he wonders whether even that low target is at risk .,"(AUTHOR, said, true); (AUTHOR, remain, unknown); (AUTHOR, said, true); (AUTHOR, wonders, unknown); (AUTHOR, at, unknown); (AUTHOR_he, at, unknown); (AUTHOR_Weil, remain, true); (AUTHOR_Weil, wonders, true)"
"source target factuality: Finally today , we learned that the space agency has finally taken a giant leap forward .","(AUTHOR, learned, true)"
"source target factuality: "" I really do n't see the government doing something that Jaguar does n't want over the next 14 months , "" said Kenneth Warren , a Conservative member of Parliament and chairman of the Select Committee on Trade and Industry in Britain 's House of Commons .","(AUTHOR, see, unknown); (AUTHOR, doing, unknown); (AUTHOR, want, unknown); (AUTHOR, said, true); (AUTHOR_I, doing, pfalse); (AUTHOR_I, want, false); (AUTHOR_Warren, see, false)"
"source target factuality: According to Mr. Steinman , the newsletter publisher , Anheuser 's market share is nearly twice that of its nearest competitor , Miller Brewing , which had a 21.2 % stake last year .","(AUTHOR, According, true); (AUTHOR, had, true); (AUTHOR, twice, unknown); (AUTHOR_Steinman, had, true); (AUTHOR_Steinman, twice, true)"
source target factuality: Sales rose 8 % to $ 368.5 million from $ 340.7 million .,"(AUTHOR, $, true); (AUTHOR, $, true); (AUTHOR, rose, true)"
"source target factuality: Still , Unisys said its European business was weak during the quarter , a worrisome sign given that the company has relied on solid results overseas to overcome weakness in the U.S. over the past several quarters .","(AUTHOR, weak, unknown); (AUTHOR, weakness, true); (AUTHOR, said, true); (AUTHOR, relied, true); (AUTHOR, overcome, true); (AUTHOR_Unisys, weak, true); (AUTHOR_Unisys, weakness, true); (AUTHOR_Unisys, relied, unknown); (AUTHOR_Unisys, overcome, unknown)"
source target factuality: The offer is being launched pursuant to a previously announced agreement between the companies .,"(AUTHOR, offer, true); (AUTHOR, launched, true); (AUTHOR, agreement, true); (AUTHOR, announced, true)"
source target factuality: The purchase of the additional 48 % stake is expected to cost more than 11 billion francs ( $ 1.77 billion ) .,"(AUTHOR, purchase, true); (AUTHOR, expected, true); (AUTHOR, cost, ptrue); (AUTHOR_GEN, purchase, true); (AUTHOR_GEN, cost, ptrue)"
